,STFID,STFID_NUM,TRACTCE10,GEO_NAME,TTL_POPULA,PCT_BLACK,SVI,c_i,TTL_Vac,c_i / p_i
0,8031001800,8031001800,1800,18,3570,5.0140056,0.8874,4716.6126,0,1.32118
1,8031001901,8031001901,1901,19.01,3346,20.8308428,0.9992,4682.52624,0,1.39944
2,8031003004,8031003004,3004,30.04,6559,3.49138588,0.3801,6336.45313,0,0.96607
3,8031002601,8031002601,2601,26.01,3869,8.06409925,0.6118,4365.23794,0,1.12826
4,8031001000,8031001000,1000,10,4803,4.7470331,0.8695,6285.44595,0,1.30865
5,8031003902,8031003902,3902,39.02,4502,0.37760995,0.2618,3976.43652,0,0.88326
6,8031002802,8031002802,2802,28.02,4060,3.1773399,0.3525,3843.805,0,0.94675
7,8031001701,8031001701,1701,17.01,7500,0.9406666,0.3063,6858.075,0,0.91441
8,8031000600,8031000600,600,6,3490,0.37249284,0.4919,3644.7117,0,1.04433
9,8031000701,8031000701,701,7.01,4516,6.17803366,0.8752,5927.88224,0,1.31264
10,8031004103,8031004103,4103,41.03,5593,24.22671196,0.0859,4251.40709,0,0.76013
11,8031004006,8031004006,4006,40.06,4857,0.32942145,0.3144,4468.82856,0,0.92008
12,8031015300,8031015300,15300,153,4019,3.18487186,0.53,4304.349,0,1.071
13,8031001600,8031001600,1600,16,12361,13.0410161,0.6094,13925.65538,0,1.12658
14,8031001302,8031001302,1302,13.02,3974,0.57876195,0.8679,5196.12422,0,1.30753
15,8031002300,8031002300,2300,23,5528,22.10564399,0.5462,5983.17552,0,1.08234
16,8031003702,8031003702,3702,37.02,4994,5.36643973,0.252,4376.7416,0,0.8764
17,8031001403,8031001403,1403,14.03,3032,1.35224274,0.6564,3515.54336,0,1.15948
18,8031003703,8031003703,3703,37.03,3266,1.86772811,0.2577,2875.35374,0,0.88039
19,8031000302,8031000302,302,3.02,4587,2.15827338,0.0932,3510.15588,0,0.76524
20,8031004306,8031004306,4306,43.06,5325,6.1971831,0.3687,5101.82925,0,0.95809
21,8031004303,8031004303,4303,43.03,4199,1.40509645,0.0989,3229.99677,0,0.76923
22,8031004304,8031004304,4304,43.04,5739,2.90991462,0.0729,4310.16117,0,0.75103
23,8031003402,8031003402,3402,34.02,4856,0.78253707,0.0276,3493.01792,0,0.71932
24,8031004700,8031004700,4700,47,7221,2.32654757,0.8047,9122.21709,0,1.26329
25,8031000904,8031000904,904,9.04,5583,3.17033853,0.9571,7648.54251,0,1.36997
26,8031003102,8031003102,3102,31.02,3527,7.28664588,0.7334,4279.59126,0,1.21338
27,8031003201,8031003201,3201,32.01,5853,1.31556467,0.171,4797.7041,0,0.8197
28,8031003202,8031003202,3202,32.02,3456,3.87731482,0.2755,3085.6896,0,0.89285
29,8031004101,8031004101,4101,41.01,4589,35.32359991,0.9481,6257.88163,0,1.36367
30,8031000800,8031000800,800,8,1437,43.63256785,0.9919,2003.65221,0,1.39433
31,8031002402,8031002402,2402,24.02,2034,18.09242871,0.5616,2223.40608,0,1.09312
32,8031001500,8031001500,1500,15,4377,4.15809916,0.9627,6013.51653,0,1.37389
33,8031004801,8031004801,4801,48.01,3627,0,0.7253,4380.36417,0,1.20771
34,8031006809,8031006809,6809,68.09,7800,4.93589744,0.3387,7309.302,0,0.93709
35,8031006812,8031006812,6812,68.12,4096,3.3203125,0.3655,3915.1616,0,0.95585
36,8031005503,8031005503,5503,55.03,5025,1.25373134,0.7261,6071.55675,0,1.20827
37,8031004405,8031004405,4405,44.05,8976,5.21390374,0.5,9424.8,0,1.05
38,8031004506,8031004506,4506,45.06,3795,6.79841897,0.9408,5155.7352,0,1.35856
39,8031004601,8031004601,4601,46.01,6481,1.24980713,0.7318,7856.65706,0,1.21226
40,8031008388,8031008388,8388,83.88,10738,22.2946545,0.6621,12493.34086,0,1.16347
41,8031008312,8031008312,8312,83.12,8245,24.6573681,0.91,11023.565,0,1.337
42,8031002703,8031002703,2703,27.03,5217,7.26471152,0.3906,5078.33214,0,0.97342
43,8031012010,8031012010,12010,120.1,5322,0.54490793,0.2909,4809.11886,0,0.90363
44,8031008390,8031008390,8390,83.9,9739,27.63117363,0.7909,12209.10257,0,1.25363
45,8031002902,8031002902,2902,29.02,4239,0.87284737,0.0041,2979.46593,0,0.70287
46,8031000102,8031000102,102,1.02,3491,1.91922085,0.1686,2855.70782,0,0.81802
47,8031000201,8031000201,201,2.01,3820,1.38743456,0.8436,4929.7864,0,1.29052
48,8031006701,8031006701,6701,67.01,4080,6.37254902,0.094,3124.464,0,0.7658
49,8031003500,8031003500,3500,35,6636,3.4358047,0.9327,8977.77804,0,1.35289
50,8031004003,8031004003,4003,40.03,4217,0.28456249,0.4287,4217.37953,0,1.00009
51,8031011902,8031011902,11902,119.02,6229,9.98555145,0.5267,6656.87001,0,1.06869
52,8031005102,8031005102,5102,51.02,3519,0.34100597,0.265,3116.0745,0,0.8855
53,8031005002,8031005002,5002,50.02,8056,17.52730884,0.9019,10725.19448,0,1.33133
54,8031006901,8031006901,6901,69.01,5827,8.22035353,0.8128,7394.22992,0,1.26896
55,8031004403,8031004403,4403,44.03,4342,16.49009673,0.705,5182.177,0,1.1935
56,8031004102,8031004102,4102,41.02,5054,37.6929165,0.9052,6740.21656,0,1.33364
57,8031980100,8031980100,980100,9801,0,0,-999,#DIV/0!,0,#DIV/0!
58,8031004505,8031004505,4505,45.05,4884,2.86650287,0.8963,6483.07044,0,1.32741
59,8031008389,8031008389,8389,83.89,11639,29.77919065,0.453,11838.0269,0,1.0171
60,8031012001,8031012001,12001,120.01,1977,0,0.4125,1954.75875,0,0.98875
61,8031000902,8031000902,902,9.02,6145,2.94548413,0.7439,7501.38585,0,1.22073
62,8031003800,8031003800,3800,38,6850,2.13138686,0.3355,6403.7225,0,0.93485
63,8031002901,8031002901,2901,29.01,3559,1.23630233,0.2164,3030.41732,0,0.85148
64,8031002602,8031002602,2602,26.02,2885,4.05545927,0.2601,2544.77195,0,0.88207
65,8031003603,8031003603,3603,36.03,3530,33.62606232,0.5494,3828.5674,0,1.08458
66,8031004301,8031004301,4301,43.01,5086,3.83405427,0.6783,5975.08366,0,1.17481
67,8031004302,8031004302,4302,43.02,2662,2.85499624,0.2002,2236.45268,0,0.84014
68,8031005300,8031005300,5300,53,1547,9.4376212,0.6856,1825.33624,0,1.17992
69,8031008387,8031008387,8387,83.87,7596,22.56450764,0.6904,8988.19488,0,1.18328
70,8031001902,8031001902,1902,19.02,778,1.41388175,0.2083,658.04018,0,0.84581
71,8031000402,8031000402,402,4.02,5750,0.99130435,0.3468,5420.87,0,0.94276
72,8031001402,8031001402,1402,14.02,4743,6.64136622,0.7788,5905.79388,0,1.24516
73,8031001101,8031001101,1101,11.01,2484,5.43478261,0.7634,3066.19992,0,1.23438
74,8031001301,8031001301,1301,13.01,5259,1.67332192,0.9044,7010.66772,0,1.33308
75,8031003001,8031003001,3001,30.01,5874,0.83418454,0.1305,4648.3899,0,0.79135
76,8031003701,8031003701,3701,37.01,3677,8.26760946,0.5049,3873.46211,0,1.05343
77,8031004201,8031004201,4201,42.01,4979,4.88049809,0.393,4855.0229,0,0.9751
78,8031008306,8031008306,8306,83.06,7188,22.45409015,0.9797,9961.05852,0,1.38579
79,8031007006,8031007006,7006,70.06,5228,16.23947972,0.752,6411.6192,0,1.2264
80,8031008305,8031008305,8305,83.05,4792,11.51919866,0.8703,6273.73432,0,1.30921
81,8031003602,8031003602,3602,36.02,4862,14.47963801,0.893,6442.6362,0,1.3251
82,8031003300,8031003300,3300,33,3215,0.80870918,0.0162,2286.9581,0,0.71134
83,8031004002,8031004002,4002,40.02,3525,0,0.1864,2927.442,0,0.83048
84,8031004106,8031004106,4106,41.06,13570,6.32277082,0.3914,13216.9086,0,0.97398
85,8031003203,8031003203,3203,32.03,3032,0.95646438,0.0746,2280.73104,0,0.75222
86,8031007013,8031007013,7013,70.13,3927,6.03514133,0.2415,3412.75935,0,0.86905
87,8031004503,8031004503,4503,45.03,4390,3.16628702,0.9198,5899.5454,0,1.34386
88,8031006804,8031006804,6804,68.04,3168,4.26136364,0.248,2767.5648,0,0.8736
89,8031006810,8031006810,6810,68.1,5836,13.98217958,0.3485,5508.8922,0,0.94395
90,8031015600,8031015600,15600,156,8879,3.43507152,0.983,12324.9399,0,1.3881
91,8031008391,8031008391,8391,83.91,7315,24.11483254,0.4708,7531.2314,0,1.02956
92,8031003901,8031003901,3901,39.01,4204,3.30637488,0.0551,3104.94828,0,0.73857
93,8031003003,8031003003,3003,30.03,3346,5.678422,0.4538,3405.09036,0,1.01766
94,8031003101,8031003101,3101,31.01,1812,17.32891832,0.3955,1770.0522,0,0.97685
95,8031004005,8031004005,4005,40.05,3299,3.69809033,0.5113,3490.04509,0,1.05791
96,8031012014,8031012014,12014,120.14,6819,0.82123479,0.4279,6815.79507,0,0.99953
97,8031001102,8031001102,1102,11.02,4799,0.91685768,0.4206,4772.22158,0,0.99442
98,8031000903,8031000903,903,9.03,6021,0.23251952,0.8096,7626.92112,0,1.26672
99,8031000905,8031000905,905,9.05,4263,0.86793338,0.6726,4991.20566,0,1.17082
100,8031005001,8031005001,5001,50.01,2718,13.72332597,0.5689,2984.98914,0,1.09823
101,8031002403,8031002403,2403,24.03,4529,17.11194524,0.7739,5623.79517,0,1.24173
102,8031002100,8031002100,2100,21,6568,3.98903776,0.4878,6840.30928,0,1.04146
103,8031015400,8031015400,15400,154,4868,1.17091208,0.5932,5428.98832,0,1.11524
104,8031006814,8031006814,6814,68.14,5296,20.44939577,0.6807,6230.69104,0,1.17649
105,8031000702,8031000702,702,7.02,4799,5.41779537,0.9417,6522.75281,0,1.35919
106,8031004104,8031004104,4104,41.04,4758,30.97940311,0.2804,4264.50024,0,0.89628
107,8031002000,8031002000,2000,20,2256,8.55496454,0.3347,2107.75824,0,0.93429
108,8031000301,8031000301,301,3.01,5869,0.10223207,0.6086,6608.61138,0,1.12602
109,8031000303,8031000303,303,3.03,4665,0.96463023,0.2707,4149.47085,0,0.88949
110,8031000202,8031000202,202,2.02,4006,6.2656016,0.7934,5029.05228,0,1.25538
111,8031000401,8031000401,401,4.01,3601,1.9994446,0.6742,4220.15594,0,1.17194
112,8031000502,8031000502,502,5.02,6006,4.37895438,0.658,6970.5636,0,1.1606
113,8031003002,8031003002,3002,30.02,2780,1.33093525,0.3225,2573.585,0,0.92575
114,8031007088,8031007088,7088,70.88,4922,13.93742381,0.7326,5969.50004,0,1.21282
115,8031007089,8031007089,7089,70.89,5194,21.00500578,0.5024,5462.42592,0,1.05168
116,8031005200,8031005200,5200,52,3479,3.01810865,0.188,2893.1364,0,0.8316
117,8031004404,8031004404,4404,44.04,6698,36.50343386,0.8979,8898.49394,0,1.32853
118,8031015500,8031015500,15500,155,3576,6.51565996,0.6937,4239.66984,0,1.18559
119,8031008386,8031008386,8386,83.86,5449,12.80968985,0.6872,6435.48696,0,1.18104
120,8031006811,8031006811,6811,68.11,6497,9.17346468,0.6613,7555.42627,0,1.16291
121,8031011903,8031011903,11903,119.03,2496,0,0.5665,2736.9888,0,1.09655
122,8031008304,8031008304,8304,83.04,3790,22.6121372,0.8744,4972.7832,0,1.31208
123,8031005502,8031005502,5502,55.02,2223,4.048583,0.7382,2704.81302,0,1.21674
124,8031004504,8031004504,4504,45.04,4638,4.03191031,0.8509,6009.13194,0,1.29563
125,8031004602,8031004602,4602,46.02,7698,2.67601975,0.9425,10467.3555,0,1.35975
126,8031015700,8031015700,15700,157,6011,5.78938613,0.9579,8238.25583,0,1.37053
127,8031004202,8031004202,4202,42.02,4567,12.6341143,0.2934,4134.87046,0,0.90538
